name;classification;designation;average_height;skin_colors;hair_colors;eye_colors;average_lifespan;language;homeworld
Hutt;gastropod;sentient;300;green_brown_tan;;yellow_red;1000;Huttese;Nal Hutta
Yodas_species;mammal;sentient;66;green_yellow;brown_white;brown_green_yellow;900;Galactic basic;
Trandoshan;reptile;sentient;200;brown_green;;yellow_orange;;Dosh;Trandosha
Mon Calamari;amphibian;sentient;160;red_blue_brown_magenta;;yellow;;Mon Calamarian;Mon Cala
Ewok;mammal;sentient;100;brown;white_brown_black;orange_brown;;Ewokese;Endor
Sullustan;mammal;sentient;180;pale;;black;;Sullutese;Sullust
Neimodian;;sentient;180;grey_green;;red_pink;;Neimoidia;Cato Neimoidia
Gungan;amphibian;sentient;190;brown_green;;orange;;Gungan basic;Naboo
Toydarian;mammal;sentient;120;blue_green_grey;;yellow;91;Toydarian;Toydaria
Dug;mammal;sentient;100;brown_purple_grey_red;;yellow_blue;;Dugese;Malastare
Twi_lek;mammals;sentient;200;orange_yellow_blue_green_pink_purple_tan;;blue_brown_orange_pink;;Twi_leki;Ryloth
Aleena;reptile;sentient;80;blue_gray;;;79;Aleena;Aleen Minor
Vulptereen;;sentient;100;grey;;yellow;;vulpterish;Vulpter
Xexto;;sentient;125;grey_yellow_purple;;black;;Xextese;Troiken
Toong;;sentient;200;grey_green_yellow;;orange;;Tundan;Tund
Cerean;mammal;sentient;200;palePink;red_ blond_black_white;hazel;;Cerean;Cerea
Nautolan;amphibian;sentient;180;green_blue_brown_red;;black;70;Nautila;Glee Anselm
Zabrak;mammal;sentient;180;pale_brown_red_orange_yellow;black;brown_orange;;Zabraki;Iridonia
Tholothian;mammal;sentient;;dark;;blue_indigo;;;Tholoth
Iktotchi;;sentient;180;pink;;orange;;Iktotchese;Iktotch
Quermian;mammal;sentient;240;white;;yellow;86;Quermian;Quermia
Kel Dor;;sentient;180;peach_orange_red;;black_silver;70;Kel Dor;Dorin
Chagrian;amphibian;sentient;190;blue;;blue;;Chagria;Champala
Geonosian;insectoid;sentient;178;green_brown;;green_hazel;;Geonosian;Geonosis
Mirialan;mammal;sentient;180;yellow_green;black_brown;blue_green_red_yellow, brown_orange;;Mirialan;Mirial
Clawdite;reptilian;sentient;180;green_yellow;;yellow;70;Clawdite;Zolan
Besalisk;amphibian;sentient;178;brown;;yellow;75;besalisk;Ojom
Kaminoan;amphibian;sentient;220;grey_blue;;black;80;Kaminoan;Kamino
Skakoan;mammal;sentient;;grey_green;;;;Skakoan;Skako
Muun;mammal;sentient;190;grey_white;;black;100;Muun;Muunilinst
Togruta;mammal;sentient;180;red_white_orange_yellow_green_blue;;red_orange_yellow_green_blue, black;94;Togruti;Shili
Kaleesh;reptile;sentient;170;brown_orange_tan;;yellow;80;Kaleesh;Kalee
Pau_an;mammal;sentient;190;grey;;black;700;Utapese;Utapau
Wookiee;mammal;sentient;210;gray;black_brown;blue_green_red_yellow, brown_golden_red;400;Shyriiwook;Kashyyyk
Droid;artificial;sentient;;;;;;;
Human;mammal;sentient;180;caucasian_black_asian_hispanic;blonde_brown_black_red;brown_blue_green_hazel_grey_amber;120;Galactic Basic;Coruscant
Rodian;sentient;reptilian;170;green_blue;;black;;Galactic Basic;Rodia
